127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/highcharts/js/highcharts-more.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/js/jquery.filtertable.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/js/superfish.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/images/eve2.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/images/watched_n.gif, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/images/asc2.gif, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/js/jquery.tablesorter.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/jqueryui/js/jquery-ui-1.8.17.custom.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/js/evemetrics.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/highstocks/js/highstock.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/jqueryui/css/redmond/jquery-ui-1.8.17.custom.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/images/eve2.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/images/watched_n.gif, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:06, GET, /evemetrics/static/images/asc2.gif, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:07, GET, /evemetrics/static/jqueryui/css/redmond/images/ui-bg_inset-hard_100_fcfdfd_1x100.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:13:07, GET, /evemetrics/static/jqueryui/css/redmond/images/ui-icons_469bdd_256x240.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-01-04 14:13:07, GET, /evemetrics/static/images/calendar.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-01-04 14:13:09, GET, /evemetrics/static/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-01-04 14:13:25, GET, /evemetrics/default/Report, HTTP/1.1, 200, 0.822000
127.0.0.1, 2016-01-04 14:13:25, GET, /evemetrics/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000000
